충전소명,충전소위치상세,설치시도명,휴점일,이용가능시작시각,이용가능종료시각,완속충전가능여부,급속충전가능여부,급속충전타입구분,완속충전기대수,급속충전기대수,주차료부과여부,소재지도로명주소,소재지지번주소,관리업체명,관리업체전화번호,위도,경도,데이터기준일자
가평환경성질환 예방관리센터,외부 주차장,경기도,연중무휴,12:00,12:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 가평군 상면 축령로 289-126,경기도 가평군 상면 행현리 922-15번지,환경부(한국자동차환경협회),1661-9408,37.769612,127.332988,2022-06-14
북면 행정복지센터,외부 주차장,경기도,연중무휴,12:00,12:00,N,Y,DC차데모+DC콤보,0,1,N,경기도 가평군 북면 가화로 1030-39,경기도 가평군 북면 목동리 913-4번지 지상 주차장,에스트래픽,031-601-3500,37.885827,127.550252,2022-06-14
가평지사,외부 주차장,경기도,연중무휴,6:00,23:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 가평군 가평읍 가화로 169-11,경기도 가평군 가평읍 읍내리 631-1번지,한국전력,1899-2100,37.834176,127.510664,2022-06-14
한국국토정보공사(가평지사),외부 주차장,경기도,연중무휴,9:00,12:00,N,Y,AC완속,1,,N,경기도 가평군 가평읍 석봉로 158,경기도 가평군 가평읍 읍내리 487-5번지 한국국토정보공사 가평지사,대영채비,1522-2573,37.829361,127.511332,2022-06-14
가평휴게소(춘천방향),외부 주차장,경기도,연중무휴,12:00,12:00,N,Y,DC차데모+AC3상+DC콤보,0,2,N,경기도 가평군 설악면 미사리로540번길 51,"경기도 가평군 설악면 미사리 149-4번지 가평휴게소 , SK 가평주유소(춘천방향) 옆",환경부(한국자동차환경협회),1661-9408,37.704361,127.547157,2022-06-14
가평휴게소(서울방향),외부 주차장,경기도,연중무휴,12:00,12:00,N,Y,DC차데모+AC3상+DC콤보,0,2,N,경기도 가평군 설악면 미사리로 544,"경기도 가평군 설악면 미사리 145-3번지 가평휴게소 , SK 가평주유소(서울방향) 옆",환경부(한국자동차환경협회),1661-9408,37.704723,127.547238,2022-06-14
가평읍사무소,외부 주차장,경기도,연중무휴,12:00,12:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 가평군 가평읍 가화로 62,경기도 가평군 가평읍 읍내리 366번지,한국전기차충전서비스,1522-1782,37.825688,127.516335,2022-06-14
가평군청,외부 주차장,경기도,연중무휴,12:00,12:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 가평군 가평읍 석봉로 181,경기도 가평군 가평읍 읍내리 513번지 정면 우측 주차장,환경부(한국자동차환경협회),1661-9408,37.831231,127.509782,2022-06-14
청평면사무소,외부 주차장,경기도,연중무휴,12:00,12:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 가평군 청평면 은고개로 23,경기도 가평군 청평면 청평리 333-1번지,환경부(한국자동차환경협회),1661-9408,37.740375,127.424363,2022-06-14
설악면사무소 후문,외부 주차장,경기도,연중무휴,12:00,12:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 가평군 설악면 한서로 8,경기도 가평군 설악면 신천리 156-1번지,한국전기차충전서비스,1522-1782,37.676048,127.494573,2022-06-14
에덴스포츠타운,외부 주차장,경기도,연중무휴,12:00,12:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 가평군 청평면 상천리 258,경기도 가평군 청평면 상천리 258,한국전기차충전서비스,1522-1782,37.825688,127.516335,2022-06-14
설악면사무소,외부 주차장,경기도,연중무휴,12:00,12:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 가평군 설악면 한서로 8,경기도 가평군 설악면 신천리 156-1번지 지상주차장,한국전력,1899-2100,37.676041,127.494515,2022-06-14
조종면사무소,외부 주차장,경기도,연중무휴,12:00,12:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 가평군 조종면 조종내길 71,경기도 가평군 조종면 현리 567-7번지 지상주차장,한국전력,1899-2100,37.817687,127.353286,2022-06-14
에덴스포츠타운,외부 주차장,경기도,연중무휴,12:00,12:00,N,Y,AC완속,2,,N,경기도 가평군 청평면 경춘로 1458,경기도 가평군 청평면 상천리 258번지,한국전기차충전서비스,1522-1782,37.827788,127.516435,2022-06-14
국립 유명산자연휴양림,외부 주차장,경기도,연중무휴,12:00,12:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 가평군 설악면 유명산길 79-53,경기도 가평군 설악면 가일리 산35번지,대영채비,1522-2573,37.593122,127.492126,2022-06-14
한국국토정보공사(가평지사),외부 주차장,경기도,연중무휴,9:00,12:00,N,Y,AC완속,2,,N,경기도 가평군 가평읍 석봉로 158,경기도 가평군 가평읍 읍내리 487-5번지 한국국토정보공사 가평지사,대영채비,1522-2573,37.829361,127.511332,2022-06-14
가평군 농업기술센터,외부 주차장,경기도,연중무휴,12:00,12:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 가평군 가평읍 아랫마장길 59,경기도 가평군 가평읍 승안리 100번지 지상1층 주차장,지엔텔,1544-4279,37.846283,127.499655,2022-06-14
상면사무소,외부 주차장,경기도,연중무휴,12:00,12:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 가평군 상면 청군로 1105,경기도 가평군 상면 연하리 171-1번지 지상주차장,한국전력,1899-2100,37.825688,127.516335,2022-06-14
화정환승공영주차장,경기도 고양시 덕양구 화정로 63,경기도,연중무휴,0:00,24:00:00,Y,N,AC완속,1,0,N,경기도 고양시 덕양구 화신로260번길 71-2,경기도 고양시 덕양구 화정동 971번지,한국전기차충전서비스,1522-1782,37.634278,126.832524,2022-08-12
백석2공영주차장,경기도 고양시 일산동구 장백로15-7(일산동구 백석동 1315),경기도,연중무휴,0:00,24:00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 고양시 일산동구 장백로 15-7,경기도 고양시 일산동구 백석동 1315번지,한국전기차충전서비스,1522-1782,37.639374,126.789405,2022-08-12
성사2공영주차장,경기도 고양시 덕양구 성사동 721,경기도,연중무휴,0:00,24:00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 고양시 덕양구 성사동 721,경기도 고양시 덕양구 성사동 721,한국전기차충전서비스,1522-1782,37.653326,126.838586,2022-08-12
원당환승주차장,경기도 고양시 덕양구 호국로790번길102,경기도,연중무휴,0:00,24:00:00,Y,Y,AC완속,1,1,N,경기도 고양시 덕양구 호국로790번길 102,경기도 고양시 덕양구 성사동 394번지,한국전기차충전서비스,1522-1782,37.653894,126.841676,2022-08-12
일산호수공원제2공영주차장,경기도 고양시 일산동구 호수로 731,경기도,연중무휴,0:00,24:00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 고양시 일산동구 호수로 731,경기도 고양시 일산동구 장항동 906번지,한국전기차충전서비스,1522-1782,37.658501,126.764213,2022-08-12
장항제1공영주차장,경기도 고양시 일산동구 무궁화로 32-19,경기도,연중무휴,0:00,24:00:00,N,Y,DC차데모+AC3상+DC콤보,0,2,N,경기도 고양시 일산동구 무궁화로 32-19,경기도 고양시 일산동구 장항동 777번지,한국전기차충전서비스,1522-1782,37.662529,126.769109,2022-08-12
장항제2공영주차장,경기도 고양시 일산동구 고봉로 32-35,경기도,연중무휴,0:00,24:00:00,N,Y,DC차데모+DC콤보,0,2,N,경기도 고양시 일산동구 고봉로 32-35,경기도 고양시 일산동구 장항동 732번지,한국전기차충전서비스,1522-1782,37.664258,126.767417,2022-08-12
장항제4공영주차장,경기도 고양시 일산동구 무궁화로 20-28,경기도,연중무휴,0:00,24:00:00,N,Y,DC차데모+DC콤보,0,2,N,경기도 고양시 일산동구 무궁화로 20-28,경기도 고양시 일산동구 장항동 758번지,한국전기차충전서비스,1522-1782,37.660865,126.767273,2022-08-12
주교1공영주차장,경기도 고양시 덕양구 고양대로 1330,경기도,연중무휴,0:00,24:00:00,N,Y,DC차데모+DC콤보,0,1,N,경기도 고양시 덕양구 고양대로 1330,경기도 고양시 덕양구 주교동 206-1번지,한국전기차충전서비스,1522-1782,37.655138,126.831078,2022-08-12
킨텍스 공영주차장,경기도 고양시 일산서구 킨텍스로237-18,경기도,연중무휴,0:00,24:00:00,Y,Y,DC차데모+AC3상+DC콤보,2,1,N,경기도 고양시 일산서구 킨텍스로 237-18,경기도 고양시 일산서구 대화동 2600-4번지,한국전기차충전서비스,1522-1782,37.667762,126.747519,2022-08-12
풍동제1공영주차장,경기도 고양시 일산동구 풍동 1244,경기도,연중무휴,0:00,24:00:00,N,Y,DC차데모+DC콤보,0,1,N,경기도 고양시 일산동구 풍동 1244,경기도 고양시 일산동구 풍동 1244,한국전기차충전서비스,1522-1782,37.673244,126.799694,2022-08-12
풍동제3공영주차장,경기도 고양시 일산동구 숲속마을로 14-7,경기도,연중무휴,0:00,24:00:00,N,Y,DC차데모+DC콤보,0,1,N,경기도 고양시 일산동구 숲속마을로 14-7,경기도 고양시 일산동구 풍동 1276번지,한국전기차충전서비스,1522-1782,37.667884,126.801007,2022-08-12
행신제9공영주차장,경기도 고양시 덕양구 소원로181번길 38,경기도,연중무휴,0:00,24:00:00,Y,N,AC완속,1,0,N,경기도 고양시 덕양구 소원로181번길 38,경기도 고양시 덕양구 행신동 805번지,차지비,1600-4047,37.614522,126.843441,2022-08-12
고양농수산물종합유통센터,"경기도 고양시 일산서구 대화로 362 (대화동, 농수산물유통센터)",경기도,연중무휴,0:00,24:00:00,Y,N,AC완속,1,0,N,경기도 고양시 일산서구 대화로 362,경기도 고양시 일산서구 대화동 2324번지,차지비,1600-4047,37.683563,126.748244,2022-08-12
고양시 레이킨스몰,경기도 고양시 일산서구 호수로 817 지하3층 주차장 B09,경기도,연중무휴,0:00,24:00:00,Y,N,AC완속,2,0,N,경기도 고양시 일산서구 호수로 817,경기도 고양시 일산서구 대화동 2602번지,차지비,1600-4047,37.667951,126.751055,2022-08-12
고양시 원마운트,경기도 고양시 일산서구 한류월드로 300 1주차장 입구(1층),경기도,연중무휴,0:00,24:00:00,Y,N,AC완속,3,0,N,경기도 고양시 일산서구 한류월드로 300,경기도 고양시 일산서구 대화동 2606번지,차지비,1600-4047,37.664264,126.754118,2022-08-12
고양시 이마트(일산점),경기도 고양시 일산동구 중앙로 1124 본관B2층 G6구역,경기도,연중무휴,0:00,24:00:00,Y,N,AC완속,2,0,N,경기도 고양시 일산동구 중앙로 1124 본관B2층 G6구역,경기도 고양시 일산동구 백석동 1194번지 흰돌마을1단지아파트 본관B2층 G6구역,차지비,1600-4047,37.647938,126.782407,2022-08-12
고양시 이마트(킨텍스점),경기도 고양시 일산서구 킨텍스로 171 지하2층,경기도,연중무휴,0:00,24:00:00,Y,N,AC완속,5,0,N,경기도 고양시 일산서구 킨텍스로 171,경기도 고양시 일산서구 대화동 2703번지,차지비,1600-4047,37.661797,126.744226,2022-08-12
고양시 이마트(풍산점),경기도 고양시 일산동구 무궁화로 237 본관6층 A구역,경기도,연중무휴,0:00,24:00:00,Y,N,AC완속,1,0,N,경기도 고양시 일산동구 무궁화로 237,경기도 고양시 일산동구 중산동 1809번지,차지비,1600-4047,37.673846,126.786899,2022-08-12
고양시 인선모터스,경기도 고양시 일산동구 동국로 286 주차장,경기도,연중무휴,0:00,24:00:00,Y,N,AC완속,2,0,N,경기도 고양시 일산동구 동국로 286,경기도 고양시 일산동구 식사동 273-1번지,차지비,1600-4047,37.691952,126.815055,2022-08-12
고양시 현대블루핸즈온누리오토프로,경기도 고양시 덕양구 권율대로 822주차장,경기도,연중무휴,0:00,24:00:00,Y,N,AC완속,2,0,N,경기도 고양시 덕양구 권율대로 822,경기도 고양시 덕양구 신원동 666번지,차지비,1600-4047,37.659653,126.883655,2022-08-12
현대모터스튜디오 고양,경기도 고양시 일산서구 킨텍스로 217-6,경기도,연중무휴,9:00,20:00,N,Y,DC콤보,0,2,N,경기도 고양시 일산서구 킨텍스로 217-6,경기도 고양시 일산서구 대화동 2601번지,현대자동차,,37.666334,126.747587,2022-08-12
(주) 한일카독크,경기도 고양시 일산서구 덕이로 48(주) 한일카독크 지상주차장,경기도,연중무휴,0:00,24:00:00,Y,N,AC완속,1,0,N,경기도 고양시 일산서구 덕이로 48,경기도 고양시 일산서구 덕이동 450번지,에스트래픽,031-601-3500,37.690494,126.754675,2022-08-12
백석1공영주차장,경기도 고양시 일산동구 장백로31-12,경기도,연중무휴,10:00,23:00,N,Y,DC차데모+DC콤보,0,1,N,경기도 고양시 일산동구 장백로 31-12,경기도 고양시 일산동구 백석동 1311번지,에스트래픽,031-601-3500,37.640948,126.787369,2022-08-12
이마트 킨텍스점(지하3층 주차장),경기도 고양시 일산서구 킨텍스로171 (지하3층 B구역,경기도,연중무휴,10:00,23:00,N,Y,DC차데모+DC콤보,0,16,N,경기도 고양시 일산서구 킨텍스로 171,경기도 고양시 일산서구 대화동 2703번지,에스트래픽,031-601-3500,37.661521,126.744339,2022-08-12
서강이엔충전소,경기도 고양시 덕양구 자유로 88,경기도,연중무휴,6:00,24:00:00,N,Y,DC콤보,0,4,N,경기도 고양시 덕양구 자유로 88,경기도 고양시 덕양구 덕은동 557-7번지,SK에너지,1599-0051,37.581899,126.854909,2022-08-12
자유제일충전소,경기도 고양시 덕양구 자유로 489,경기도,연중무휴,6:00,24:00:00,N,Y,DC콤보,0,4,N,경기도 고양시 덕양구 자유로 489,경기도 고양시 덕양구 행주외동 27번지,SK에너지,1599-0051,37.604134,126.821699,2022-08-12
고양덕양우체국,경기도 고양시 덕양구 백양로 132,경기도,연중무휴,9:00,18:00,Y,N,AC완속,2,0,N,경기도 고양시 덕양구 백양로 132,경기도 고양시 덕양구 화정동 957번지,스타코프,02-2118-1100,37.637332,126.835297,2022-08-12
EV셀프세차_고양시청점,경기도 고양시 덕양구 대주로 357-52,경기도,연중무휴,0:00,24:00:00,Y,N,AC완속,5,0,N,경기도 고양시 덕양구 대주로 357-52,경기도 고양시 덕양구 주교동 산212번지,휴맥스이브이,1800-3188,37.655028,126.817704,2022-08-12
일산병원,경기도 고양시 일산동구 일산로 100,경기도,연중무휴,0:00,24:00:00,Y,N,AC완속,5,0,N,경기도 고양시 일산동구 일산로 100,경기도 고양시 일산동구 백석동 1232번지,한국전자금융,1533-2522,37.645625,126.792995,2022-08-12
창성모터스,경기도 고양시 일산동구 동국로 100,경기도,연중무휴,0:00,24:00:00,Y,N,AC완속,2,0,N,경기도 고양시 일산동구 동국로 100,경기도 고양시 일산동구 식사동 783-7번지,타디스테크놀로지,02-6941-0609,37.681512,126.803373,2022-08-12
고양시청 행주산성,경기도 고양시 덕양구 행주외동 60-10,경기도,연중무휴,0:00,24:00:00,N,Y,DC콤보,0,4,Y,경기도 고양시 덕양구 행주외동 60-10,경기도 고양시 덕양구 행주외동 60-10,환경부(한국자동차환경협회),1661-9408,37.600547,126.824159,2022-08-12
롯데마트 주엽점 지하3층주차장,경기도 고양시 일산서구 중앙로 1496,경기도,연중무휴,10:00,23:00,N,Y,DC콤보,0,5,N,경기도 고양시 일산서구 중앙로 1496,경기도 고양시 일산서구 주엽동 15번지 롯데마트,환경부(한국자동차환경협회),1661-9408,37.673398,126.755343,2022-08-12
송산동행정복지센터,경기도 고양시 일산서구 덕이로 50-7,경기도,연중무휴,0:00,24:00:00,N,Y,DC콤보,0,1,N,경기도 고양시 일산서구 덕이로 50-7,경기도 고양시 일산서구 덕이동 446-9번지,환경부(한국자동차환경협회),1661-9408,37.690977,126.754286,2022-08-12
일산서구청 내  주차장,경기도 고양시 일산서구 중앙로 1600,경기도,연중무휴,0:00,24:00:00,N,Y,DC콤보,0,2,Y,경기도 고양시 일산서구 중앙로 1600,경기도 고양시 일산서구 대화동 2321번지,환경부(한국자동차환경협회),1661-9408,37.678537,126.745325,2022-08-12
관산주유소,경기도 고양시 덕양구 통일로 790,경기도,연중무휴,0:00,24:00:00,N,Y,DC콤보,0,2,N,경기도 고양시 덕양구 통일로 790,경기도 고양시 덕양구 관산동 231-10번지,GS칼텍스,1544-5151,37.688815,126.863086,2022-08-12
토당주유소,경기도 고양시 덕양구 중앙로 637토당주유소,경기도,연중무휴,0:00,24:00:00,N,Y,DC콤보,0,2,N,경기도 고양시 덕양구 중앙로 637,경기도 고양시 덕양구 토당동 899-8번지,GS칼텍스,1544-5151,37.627368,126.827793,2022-08-12
킨텍스 제 2전시장,경기도 고양시 일산서구 킨텍스로 217-59,경기도,연중무휴,0:00,24:00:00,N,Y,DC콤보,0,8,N,경기도 고양시 일산서구 킨텍스로 217-59,경기도 고양시 일산서구 대화동 2700번지,환경부(한국자동차환경협회),1661-9408,37.665013,126.744071,2022-08-12
고양체육관,경기도 고양시 일산서구 중앙로 1601(2320 고양체육관),경기도,연중무휴,9:00,18:00,N,Y,DC콤보,0,3,N,경기도 고양시 일산서구 중앙로 1601,경기도 고양시 일산서구 대화동 2320번지,한국전력,1899-2100,37.675071,126.743689,2022-08-12
장항1동행정복지센터,경기도 고양시 일산동구 장항로225번길 72,경기도,연중무휴,0:00,24:00:00,Y,Y,AC완속,1,1,N,경기도 고양시 일산동구 장항로225번길 72,경기도 고양시 일산동구 장항동 578-2번지,한국전기차충전서비스,1522-1782,37.641807,126.770757,2022-08-12
장항제3공영주차장,경기도 고양시 일산동구 무궁화로 19-19,경기도,연중무휴,0:00,24:00:00,N,Y,DC차데모+DC콤보,0,1,N,경기도 고양시 일산동구 무궁화로 19-19,경기도 고양시 일산동구 장항동 743번지,한국전기차충전서비스,1522-1782,37.662543,126.765626,2022-08-12
탄현제3공영주차장,경기도 고양시 일산서구 탄중로 244-2,경기도,연중무휴,0:00,24:00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,Y,경기도 고양시 일산서구 탄중로 244-2,경기도 고양시 일산서구 탄현동 1589번지,한국전기차충전서비스,1522-1782,37.692858,126.772229,2022-08-12
고양시 이마트(화정점),경기도 고양시 덕양구 백양로 79 본관4층 1구역,경기도,연중무휴,0:00,24:00:00,Y,N,AC완속,2,0,N,경기도 고양시 덕양구 백양로 79,경기도 고양시 덕양구 화정동 976번지,차지비,1600-4047,37.632824,126.833405,2022-08-12
서북부)일산 지점,경기도 고양시 일산서구 중앙로 1447,경기도,평일,8:30,17:30,Y,N,AC완속,1,0,N,경기도 고양시 일산서구 중앙로 1447,경기도 고양시 일산서구 주엽동 110-1번지,기아자동차,,37.670721,126.759463,2022-08-12
고양어린이박물관,경기도 고양시 덕양구 화중로 26(어린이 박물관),경기도,연중무휴,0:00,24:00:00,N,Y,DC콤보,0,1,N,경기도 고양시 덕양구 화중로 26,경기도 고양시 덕양구 화정동 1003번지 어린이 박물관,에스트래픽,031-601-3500,37.629605,126.830567,2022-08-12
한류월드 제2공영주차장,경기도 고양시 일산동구 장항동 1801,경기도,연중무휴,0:00,24:00:00,N,Y,DC콤보,0,1,N,경기도 고양시 일산동구 장항동 1801,경기도 고양시 일산동구 장항동 1801,에스트래픽,031-601-3500,37.659968,126.755766,2022-08-12
성사2동 행정복지센터,경기도 고양시 덕양구 호국로742번길 6-6 (성사동),경기도,연중무휴,0:00,18:00,Y,N,AC완속,1,0,N,경기도 고양시 덕양구 호국로742번길 6-6,경기도 고양시 덕양구 성사동 734-1번지,에버온,1661-7766,37.653048,126.832927,2022-08-12
장항2동행정복지센터,경기도 고양시 일산동구 노루목로 114 (장항동),경기도,연중무휴,0:00,18:00,Y,N,AC완속,1,0,N,경기도 고양시 일산동구 노루목로 114,경기도 고양시 일산동구 장항동 900번지,에버온,1661-7766,37.650007,126.778356,2022-08-12
일산직업능력개발원,경기도 고양시 일산서구 탄현로 155일산직업능력개발원(한국장애인고용공단 일산직업능력개발원),경기도,연중무휴,0:00,23:00,N,Y,DC콤보,0,1,N,경기도 고양시 일산서구 탄현로 155,경기도 고양시 일산서구 탄현동 111-14번지,대영채비,1522-2573,37.703986,126.763106,2022-08-12
VIC마켓 킨텍스점,경기도 고양시 일산서구 주엽로 79,경기도,연중무휴,0:00,24:00:00,N,Y,DC차데모+AC3상+DC콤보,0,2,Y,경기도 고양시 일산서구 주엽로 79,경기도 고양시 일산서구 대화동 1050-171번지,환경부(한국자동차환경협회),1661-9408,37.666698,126.751318,2022-08-12
고양시산림조합 산림문화센터,경기도 고양시 일산동구 식사동 425-4,경기도,연중무휴,0:00,24:00:00,N,Y,DC콤보,0,2,N,경기도 고양시 일산동구 능안길 27,경기도 고양시 일산동구 식사동 425-4,환경부(한국자동차환경협회),1661-9408,37.673755,126.819135,2022-08-12
고양시청,"경기도 고양시 덕양구 고양시청로 10, 주차장 입구 전 우측(주교동 600)",경기도,연중무휴,0:00,24:00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 고양시 덕양구 고양시청로 10,경기도 고양시 덕양구 주교동 600번지,환경부(한국자동차환경협회),1661-9408,37.658386,126.832014,2022-08-12
고양아람누리,경기도 고양시 일산동구 중앙로 1286,경기도,연중무휴,0:00,24:00:00,N,Y,DC콤보,0,1,N,경기도 고양시 일산동구 중앙로 1286,경기도 고양시 일산동구 마두동 816번지,환경부(한국자동차환경협회),1661-9408,37.661792,126.774726,2022-08-12
한류월드 제1공영주차장,경기도 고양시 일산동구 장항동 1777,경기도,연중무휴,0:00,24:00:00,N,Y,DC콤보,0,1,N,경기도 고양시 일산동구 장항동 1777,경기도 고양시 일산동구 장항동 1777,에스트래픽,031-601-3500,37.663178,126.756464,2022-08-12
LH고양사업단,경기도 고양시 덕양구 덕수천 1로 13지상 1층 주차장내(삼송동 218-4 지상 1층 주차장내),경기도,연중무휴,0:00,24:00:00,Y,N,AC완속,1,0,N,경기도 고양시 덕양구 덕수천1로 13,경기도 고양시 덕양구 삼송동 218-4번지,지엔텔,1544-4279,37.647203,126.877806,2022-08-12
고양시 탄현제5공용주차장,경기도 고양시 일산서구 탄현동 1489지상1층주차장,경기도,연중무휴,0:00,24:00:00,Y,N,AC완속,1,0,N,경기도 고양시 일산서구 탄현동 1489,경기도 고양시 일산서구 탄현동 1489,지엔텔,1544-4279,37.694481,126.769044,2022-08-12
고양세무서 충전소(NEWK),경기도 고양시 일산동구 중앙로1275번길 14-43,경기도,연중무휴,0:00,24:00:00,Y,N,AC완속,1,0,N,경기도 고양시 일산동구 중앙로1275번길 14-43,경기도 고양시 일산동구 장항동 774번지,이카플러그,031-778-6181,37.661345,126.770227,2022-08-12
한국노인인력개발원,경기도 고양시 일산동구 하늘마을로 106한국노인인력개발원 주차장 내(중산동 1701),경기도,주말,0:00,18:00,Y,N,AC완속,1,0,N,경기도 고양시 일산동구 하늘마을로 106,경기도 고양시 일산동구 중산동 1701번지,에버온,1661-7766,37.680535,126.784214,2022-08-12
마두2동 행정복지센터,경기도 고양시 일산동구 강송로 166 (마두동),경기도,주말,0:00,18:00,Y,N,AC완속,1,0,N,경기도 고양시 일산동구 강송로 166,경기도 고양시 일산동구 마두동 782번지,에버온,1661-7766,37.653735,126.784507,2022-08-12
백석1동행정복지센터,경기도 고양시 일산동구 일산로 145 (백석동),경기도,주말,0:00,18:00,Y,N,AC완속,1,0,N,경기도 고양시 일산동구 일산로 145,경기도 고양시 일산동구 백석동 1147번지,에버온,1661-7766,37.649859,126.792396,2022-08-12
일산1동 행정복지센터,경기도 고양시 일산서구 원일로 55 (일산동),경기도,주말,0:00,18:00,Y,N,AC완속,1,0,N,경기도 고양시 일산서구 원일로 55,경기도 고양시 일산서구 일산동 963-6번지,에버온,1661-7766,37.687367,126.768521,2022-08-12
일산2동행정복지센터,경기도 고양시 일산서구 고봉로 283 (일산동),경기도,주말,0:00,18:00,Y,N,AC완속,1,0,N,경기도 고양시 일산서구 고봉로 283,경기도 고양시 일산서구 일산동 1679번지,에버온,1661-7766,37.684737,126.777208,2022-08-12
일산3동 행정복지센터,경기도 고양시 일산서구 강선로 158 (일산동),경기도,주말,0:00,18:00,Y,N,AC완속,1,0,N,경기도 고양시 일산서구 강선로 158,경기도 고양시 일산서구 일산동 1100번지,에버온,1661-7766,37.677034,126.770221,2022-08-12
아우디_일산 서비스 센터,경기도 고양시 일산서구 송파로 131아우디 일산서비스센터,경기도,연중무휴,0:00,18:00,N,Y,DC콤보,0,1,N,경기도 고양시 일산서구 송파로 131,경기도 고양시 일산서구 가좌동 636-2번지,대영채비,1522-2573,37.695271,126.713765,2022-08-12
아우디_일산 전시장,경기도 고양시 일산동구 중앙로 1019아우디_일산 전시장,경기도,연중무휴,0:00,18:00,Y,N,AC완속,1,0,N,경기도 고양시 일산동구 중앙로 1019,경기도 고양시 일산동구 백석동 1304-1번지,대영채비,1522-2573,37.641495,126.789648,2022-08-12
덕양주유소,경기도 고양시 덕양구 서오릉로 836SK 덕양주유소(성사동 278),경기도,연중무휴,0:00,24:00:00,Y,N,AC완속,5,0,N,경기도 고양시 덕양구 서오릉로 836,경기도 고양시 덕양구 성사동 278번지,클린일렉스,1811-1360,37.647011,126.854848,2022-08-12
고양백마주유소,경기도 고양시 일산동구 중앙로 990고양백마주유소,경기도,연중무휴,6:00,24:00:00,N,Y,DC콤보,0,2,N,경기도 고양시 일산동구 중앙로 990,경기도 고양시 일산동구 백석동 1236번지,SK에너지,1599-0051,37.640275,126.792514,2022-08-12
오일파워주유소,경기도 고양시 일산동구 고양대로 834오일파워주유소,경기도,연중무휴,6:00,24:00:00,N,Y,DC차데모+DC콤보,0,2,N,경기도 고양시 일산동구 고양대로 834,경기도 고양시 일산동구 중산동 1710번지,SK에너지,1599-0051,37.680718,126.787997,2022-08-12
고양어울림누리,경기도 고양시 덕양구 어울림로 33,경기도,연중무휴,0:00,24:00:00,N,Y,DC콤보,0,1,Y,경기도 고양시 덕양구 어울림로 33,경기도 고양시 덕양구 성사동 826번지,환경부(한국자동차환경협회),1661-9408,37.649507,126.834995,2022-08-12
고양유통센터 제3주차장,경기도 고양시 일산서구 대화로362,경기도,연중무휴,0:00,24:00:00,N,Y,DC콤보,0,5,N,경기도 고양시 일산서구 대화로 362,경기도 고양시 일산서구 대화동 2324번지,환경부(한국자동차환경협회),1661-9408,37.683444,126.748244,2022-08-12
고양종합운동장 부설주차장,"경기도 고양시 일산서구 중앙로 1601, 대형주차장 왼쪽도로변(대화동 2320)",경기도,연중무휴,0:00,24:00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,Y,경기도 고양시 일산서구 중앙로 1601,경기도 고양시 일산서구 대화동 2320번지,환경부(한국자동차환경협회),1661-9408,37.675165,126.743721,2022-08-12
고양종합체육관,경기도 고양시 일산서구 중앙로 1601,경기도,연중무휴,0:00,24:00:00,N,Y,DC콤보,0,2,Y,경기도 고양시 일산서구 중앙로 1601,경기도 고양시 일산서구 대화동 2320번지,환경부(한국자동차환경협회),1661-9408,37.675165,126.743721,2022-08-12
덕양구청 주차장,경기도 고양시 덕양구 화중로 104번길 13 입구 좌측,경기도,연중무휴,0:00,24:00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,Y,경기도 고양시 덕양구 화중로104번길 13,경기도 고양시 덕양구 화정동 955번지,환경부(한국자동차환경협회),1661-9408,37.637367,126.832592,2022-08-12
롯데마트 고양점,"경기도 고양시 덕양구 충장로 150, 지상주차장 4층 422구역(행신동 941)",경기도,연중무휴,10:00,23:00,Y,Y,DC차데모+AC3상,6,5,N,경기도 고양시 덕양구 충장로 150,경기도 고양시 덕양구 행신동 941번지,환경부(한국자동차환경협회),1661-9408,37.625355,126.836341,2022-08-12
롯데마트 주엽점,"경기도 고양시 일산서구 중앙로 1496, 지하주차장 2층 210구역(주엽동 15)",경기도,연중무휴,10:00,24:00:00,Y,Y,DC차데모+AC3상,3,3,N,경기도 고양시 일산서구 중앙로 1496,경기도 고양시 일산서구 주엽동 15번지 롯데마트,환경부(한국자동차환경협회),1661-9408,37.673398,126.755343,2022-08-12
