충전소명,충전소위치상세,설치시도명,휴점일,이용가능시작시각,이용가능종료시각,완속충전가능여부,급속충전가능여부,급속충전타입구분,완속충전기대수,급속충전기대수,주차료부과여부,소재지도로명주소,소재지지번주소,관리업체명,관리업체전화번호,위도,경도,데이터기준일자
연원마을삼성명가타운-111동,연원마을삼성명가타운-111동,경기도,-,0:00,24:00:00,Y,N,AC완속,2,0,N,경기도 용인시 기흥구 용구대로 2460지하2층,경기도 용인시 기흥구 보정동 1177번지 연원마을삼성명가타운아파트 지하2층,파워큐브,1833-8017,37.30573988,127.1079272,2022-10-12
내손2동 주민센터,"의왕시 복지로 109, 지하주차장 출입구 2회 좌회전 안쪽",경기도,연중무휴,0:00,18:00,Y,N,AC완속,1,2,Y,경기도 의왕시 복지로 109,경기도 의왕시 내손동 849-2번지,케이티,1522-4700,37.38763585,126.9821952,2022-11-01
청계동 주민센터,의왕시 안양판교로 232 출입구 들어가서 정면,경기도,"평일(주말, 공휴일 휴무)",0:00,23:59,Y,N,AC완속,1,1,N,경기도 의왕시 안양판교로 232,경기도 의왕시 포일동 602-15번지,케이티,1522-4700,37.38858352,126.9960841,2022-11-01
청계산 공영주차장,의왕시 청계로 353,경기도,연중무휴,0:00,23:59,N,Y,DC콤보,0,1,Y,경기도 의왕시 청계로 353,경기도 의왕시 청계동 71-2번지,한국전력,1899-2100,37.40584025,127.0254811,2022-11-01
의왕역 공영주차장,"의왕시 한백이길 7,파출소 뒤",경기도,연중무휴,0:00,23:59,Y,Y,AC3상+DC차데모+DC콤보,1,1,Y,경기도 의왕시 한백이길 7,경기도 의왕시 삼동 460-83번지,대영채비,1522-2573,37.32220276,126.9492356,2022-11-01
서해그랑블상가,"의왕시 경수대로 262, 서해그랑블 상가 B5",경기도,연중무휴,0:00,18:00,N,Y,DC콤보,0,2,Y,경기도 의왕시 경수대로 262,경기도 의왕시 오전동 892번지 의왕서해그랑블(블루스퀘어),한국전력,1899-2100,37.35063956,126.9730918,2022-11-01
롯데마트,"의왕시 계원대학로 7-0(내손동), 롯데마트 3층 주차장 카센터 옆",경기도,"매월 둘째, 넷째 수요일 휴무",0:00,23:59,N,Y,AC3상+DC차데모+DC콤보,0,1,N,경기도 의왕시 계원대학로 7,경기도 의왕시 내손동 743번지,환경부(한국자동차환경협회),1661-9408,37.38016465,126.9736163,2022-11-01
포일어울림센터,의왕시 안양판교로 82,경기도,연중무휴,0:00,23:59,N,Y,DC콤보,0,2,Y,경기도 의왕시 안양판교로 82,경기도 의왕시 포일동 686번지,한국전력,1899-2100,37.39620438,126.9824998,2022-11-01
국민체육센터 공영주차장,"의왕시 복지로 27, 체육센터 출입구 좌측 주차장 안쪽",경기도,연중무휴,0:00,23:59,N,Y,AC3상+DC차데모+DC콤보,0,1,N,경기도 의왕시 복지로 27,경기도 의왕시 내손동 626번지,한국전기차충전서비스,1522-1782,37.38147139,126.9747223,2022-11-01
내손제1공영주차장,"의왕시 내순순환로 58, 지하 제1공영주차장",경기도,연중무휴,0:00,23:59,N,Y,DC콤보,0,1,Y,경기도 의왕시 내손순환로 지하 58,경기도 의왕시 내손동 709,지에스커넥트,1544-4279,37.38395691,126.977959,2022-11-01
갈미한글공원,"의왕시 문화예술로 65, 보리밥집 앞",경기도,연중무휴,0:00,23:59,N,Y,DC차데모+DC콤보,0,2,N,경기도 의왕시 문화예술로 65,경기도 의왕시 내손동 228-1번지,한국전기차충전서비스,1522-1782,37.37819364,126.9845575,2022-11-01
부곡체육공원,"의왕시 부곡공원길 6, 출입구쪽 첫번째 주차공간 안쪽",경기도,연중무휴,0:00,23:59,N,Y,AC3상+DC차데모+DC콤보,0,1,N,경기도 의왕시 부곡공원길 6,경기도 의왕시 월암동 421번지,한국전기차충전서비스,1522-1782,37.31411581,126.9595408,2022-11-01
부곡도깨비시장,"의왕시 부곡중앙남1길 19, 부곡도깨비시장 공영주차장",경기도,연중무휴,0:00,23:59,Y,N,AC완속,2,0,Y,경기도 의왕시 부곡중앙남1길 19,경기도 의왕시 삼동 166-24번지,대영채비,1552-2573,37.31934659,126.9503588,2022-11-01
평생학습관,의왕시 오전로 122,경기도,연중무휴,0:00,23:59,N,Y,DC콤보,0,2,N,경기도 의왕시 오전로 122,경기도 의왕시 오전동 852번지,한국전력,1899-2100,37.35505511,126.9754572,2022-11-01
내손1동 주민센터,"의왕시 갈미로 71, 지하주차장 출입구 왼쪽 기둥 옆",경기도,"평일(주말, 공휴일 휴무)",0:00,18:00,Y,N,AC완속,1,0,N,경기도 의왕시 갈미로 71,경기도 의왕시 내손동 787번지,포스코ICT,1600-4047,37.37819191,126.9756154,2022-11-01
의왕시청 공영주차장,"의왕시 시청로 11, 시청 정문 우측 대주차장",경기도,연중무휴,0:00,23:59,Y,Y,AC3상+DC차데모+DC콤보,2,6,N,경기도 의왕시 시청로 11,경기도 의왕시 고천동 171번지,대영채비,1552-2573,37.34472651,126.968924,2022-11-01
고천동주민센터,"의왕시 사천로 11, 지하3층 전기실 앞",경기도,연중무휴,0:00,23:59,N,Y,DC콤보,0,1,N,경기도 의왕시 사천로 11,경기도 의왕시 왕곡동 598번지,지에스커넥트,1544-4279,37.34578921,126.976895,2022-11-01
시청 별관,"의왕시 사그내길 11, 입구 좌측",경기도,연중무휴,0:00,23:59,N,Y,DC차데모+DC콤보,0,1,N,경기도 의왕시 사그내길 11,경기도 의왕시 고천동 272-2번지,한국전기차충전서비스,1522-1782,37.34772865,126.9757506,2022-11-01
의왕경찰서,"의왕시 오봉로 10, 주차장 출입구 왼쪽(민원실 반대편)",경기도,연중무휴,0:00,23:59,N,Y,AC3상+DC차데모+DC콤보,0,1,N,경기도 의왕시 오봉로 10,경기도 의왕시 고천동 231-1번지,에스트래픽,080-805-0010,37.34495312,126.9740588,2022-11-01
서울소년원 민원인주차장,"의왕시 고산로 87, 민원인주차장",경기도,연중무휴,0:00,23:59,N,Y,DC콤보,0,2,N,경기도 의왕시 고산로 87,경기도 의왕시 고천동 430번지,한국전력,1899-2100,37.35084538,126.9614813,2022-11-01
자연학습공원 공영주차장,"의왕시 왕송못동로 307, 자연학습공원 공영주차장 입구 오른쪽",경기도,연중무휴,0:00,23:59,Y,Y,DC콤보,1,3,Y,경기도 의왕시 왕송못동로 307,경기도 의왕시 월암동 543-3번지,한국전력,1899-2100,37.30712099,126.952258,2022-11-01
내손체육공원 주차빌딩,"의왕시 내손순환로 139, 2층 주차장 오른쪽 끝",경기도,연중무휴,0:00,23:59,N,Y,AC3상+DC차데모+DC콤보,0,1,Y,경기도 의왕시 내손순환로 139,경기도 의왕시 내손동 666번지,지엔텔,1544-4279,37.38669902,126.9835279,2022-11-01
홈플러스 의정부점,지상5층 주차장,경기도,"매월 2,4주 일요일",10:00,23:40,N,Y,AC3상+DC차데모,0,1,N,경기도 의정부시 청사로 38,경기도 의정부시 금오동 475-1번지 홈플러스의정부점,한국자동차환경협회,1661-9408,37.737847,127.0351108,2019-04-01
의정부시청,신관,경기도,연중무휴,0:00,23:59,Y,Y,AC3상+DC차데모+DC콤보,1,1,Y,경기도 의정부시 시민로 1,경기도 의정부시 의정부동 326-2번지,한국전기차충전서비스,1522-1782,37.738401,127.033324,2019-04-01
경기도청 북부청사,외부 주차장,경기도,연중무휴,0:00,23:59,Y,N,AC3상,1,0,N,경기도 의정부시 청사로 1,경기도 의정부시 신곡동 800번지,경기도청 북부청사,031-8030-2284,37.7467948,127.0700528,2019-04-01
코스트코 의정부점,주차장,경기도,"매월 2,4주 일요일",10:00,22:00,Y,Y,AC3상+DC차데모+DC콤보,1,1,N,경기도 의정부시 용민로489번길 9,경기도 의정부시 민락동 903번지,한국전기차충전서비스,1522-1782,37.751669,127.118754,2019-04-01
